,MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG,follower_score,interaction,int_pct,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
80,199,1023,_perfect_jay_,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CERa7-PF_Hw/,2020-08-24,2020-09-22,54653,799,64,0,2020-08-18 01:08:07,,40.0,20.0,,20,863,0.35714285714285715,5,-29 days +00:00:00.000000000,1.0,10.0,20.0,55.0,B
81,199,1022,scott.im,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CEOqAcosgTC/,2020-08-23,2020-09-22,66080,1547,44,0,2020-08-18 01:08:16,,,,,20,1591,0.6964285714285714,15,-30 days +00:00:00.000000000,1.0,,,,D
83,199,799,h___ryan,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEL-mZWhbI3/,2020-08-22,2020-09-22,24709,2055,26,0,2020-08-18 01:08:50,,,,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/117949930_1048750125582941_9109251807058573025_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=7kNyHvXGOPgAX80DE-i&_nc_tp=19&oh=784503e029ac66e6f93301b976302dd1&oe=5F964E3A,10,2081,0.75,15,-31 days +00:00:00.000000000,1.0,,,,D
85,199,1787,__kazama_,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEiYawFj1Q1/,2020-08-31,2020-09-22,12896,1106,8,0,2020-08-18 01:09:06,,40.0,20.0,,10,1114,0.5357142857142857,10,-22 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
86,199,1355,e.n_h.o,Y,92.0,31JPF3061_43B,https://www.instagram.com/p/CEeNkndpu2F/,2020-08-29,2020-09-22,15070,323,30,0,2020-08-18 01:09:14,,,,,10,353,0.14285714285714285,1,-24 days +00:00:00.000000000,1.0,,,,D
87,199,1349,li.hyuk,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEyZ1JxBTrI/,2020-09-06,2020-09-22,28436,3436,114,0,2020-08-18 01:09:32,,,,,10,3550,0.8571428571428571,20,-16 days +00:00:00.000000000,1.0,,,,D
88,199,1332,1m_sik7,Y,92.0,31JPF1061_50B,https://www.instagram.com/p/CEM3zPWBBAl/,2020-08-23,2020-09-22,23908,1211,14,0,2020-08-18 01:09:42,,,,,10,1225,0.625,15,-30 days +00:00:00.000000000,1.0,,,,D
93,199,1026,hyuk222,Y,92.0,31JPF1061_43K,https://www.instagram.com/p/CEV6W4GjVcU/,2020-08-26,2020-09-22,24961,278,16,0,2020-08-18 01:10:26,,40.0,20.0,,10,294,0.10714285714285714,1,-27 days +00:00:00.000000000,1.0,10.0,20.0,41.0,C
94,199,1025,gloyk91,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEg0MfgDLS5/,2020-08-30,2020-09-22,39101,963,14,0,2020-08-18 01:10:33,,,,,15,977,0.42857142857142855,10,-23 days +00:00:00.000000000,1.0,,,,D
95,199,1020,zzoon.e,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEedq6vj1rJ/,2020-08-29,2020-09-22,27823,445,14,0,2020-08-18 01:10:40,,40.0,20.0,,10,459,0.21428571428571427,5,-24 days +00:00:00.000000000,1.0,10.0,20.0,45.0,C
